CPU_Fitness,GPU_Fitness,CPU_Time,GPU_Time
0.26984903319039766,0.26984903319039766,479.32213950157166,474.2442247867584
0.2698349893259918,0.2698349893259918,472.75378942489624,468.8601562976837
0.26891366112499154,0.26844974845657593,469.68241477012634,464.9851665496826
0.269317739488954,0.2701860934380176,467.4862816333771,465.576162815094
0.26941543410352264,0.2701526206750831,468.46426725387573,468.7682020664215
0.2686049970760246,0.2686049970760246,482.8302843570709,465.359525680542
0.2699820001803694,0.2689459739728513,477.53964614868164,461.14767050743103
0.26911114592638596,0.26911114592638596,461.7532045841217,462.88331389427185
0.27079047938216355,0.27079047938216355,463.25564455986023,461.53559827804565
0.2689582702774038,0.2689582702774038,462.1554305553436,470.6877210140228
