Metric,Value
CPU Mean,0.2694777750076205
GPU Mean,0.2694883351720896
CPU Std,0.0006129140315937566
GPU Std,0.000738264063970979
CPU Time,470.52431027889253
GPU Time,466.40477418899536
Speedup,1.0088325341374569
