Metric,Value
CPU Mean,0.26932778112002714
GPU Mean,0.2692716934355164
CPU Std,0.000655655234930463
GPU Std,0.0006501649778317047
CPU Time,494.5570781946182
GPU Time,497.7428086519241
Speedup,0.993599645435493
