Iteration,CPU,GPU
10,0.2924079542149371,0.2924007979760263
20,0.2873028265480953,0.2856816180156652
30,0.2842973681611754,0.28275302714773226
40,0.27130904867694844,0.27651939421371713
50,0.27130782600154885,0.2712778369668803
