CPU_Fitness,GPU_Fitness,CPU_Time,GPU_Time
0.26984903319039766,0.26984903319039766,481.89219307899475,492.3172335624695
0.2698349893259918,0.26920651462644785,491.76022028923035,490.2334096431732
0.26844974845657593,0.26844974845657593,489.08671379089355,483.0060167312622
0.269317739488954,0.269317739488954,474.84996032714844,587.2000303268433
0.26941543410352264,0.26941543410352264,524.9323568344116,509.94177174568176
0.2686049970760246,0.2686049970760246,514.4427464008331,480.5732367038727
0.2689459739728513,0.2689459739728513,489.03897762298584,472.89820432662964
0.26911114592638596,0.26911114592638596,481.28166818618774,498.69175910949707
0.27079047938216355,0.27085807723660044,484.3079538345337,486.6130630970001
0.2689582702774038,0.2689582702774038,513.9779915809631,475.9533612728119
